,0
Individuals,48.0
xnorm_mean,-11.170951041666667
xnorm_std,49.980093704228835
ynorm_mean,-3.5368099166666673
ynorm_std,31.062598938722612
znorm_mean,-29.762464354166667
znorm_std,30.1355768053597
laa950perc10b_mean,7.17170376074095
laa950perc10b_std,10.012840465791822
meanintensity0i_mean,-544.0922398958334
meanintensity0i_std,195.24466808916662
compactness10i_mean,2.052885985
compactness10i_std,1.835160497446496
sphericity0i_mean,0.561922724375
sphericity0i_std,0.0804459624896885
graylevels0i_mean,143.52083333333334
graylevels0i_std,155.99222424474462
energy0i_mean,168594032.9375
energy0i_std,282054227.66780037
entropy0i_mean,516.6327772083333
entropy0i_std,1048.454562390409
skewness0i_mean,0.47583345291666673
skewness0i_std,1.1636797976666908
kurtosis0i_mean,0.9822991266666667
kurtosis0i_std,2.8305944444141087
maximum3ddiameter0i_mean,10.29429375
maximum3ddiameter0i_std,6.842429289360411
