,0
Individuals,14.0
xnorm_mean,-11.128625357142855
xnorm_std,43.146777674891965
ynorm_mean,2.608824714285715
ynorm_std,29.489791534231152
znorm_mean,6.894615099999998
znorm_std,25.6896195906575
laa950perc10b_mean,15.128758190714288
laa950perc10b_std,19.936914068081634
meanintensity0i_mean,-430.2372247142856
meanintensity0i_std,234.4026711172835
compactness10i_mean,2.7119632292857148
compactness10i_std,1.9797934475006163
sphericity0i_mean,0.5297030185714287
sphericity0i_std,0.09095893372623999
graylevels0i_mean,225.07142857142858
graylevels0i_std,191.34080118417555
energy0i_mean,103625340.28571428
energy0i_std,118567702.1297593
entropy0i_mean,662.5293302142857
entropy0i_std,966.755045714003
skewness0i_mean,0.4232014971428572
skewness0i_std,0.8036625852479892
kurtosis0i_mean,0.005910110714285726
kurtosis0i_std,1.2535473380631807
maximum3ddiameter0i_mean,12.626104985714283
maximum3ddiameter0i_std,8.120865163714706
