,0
Individuals,59.0
xnorm_mean,-11.840821661016951
xnorm_std,35.10745597208935
ynorm_mean,7.507457074576271
ynorm_std,27.164798573876162
znorm_mean,-4.33025127118644
znorm_std,31.475584020354507
laa950perc10b_mean,8.033429964067798
laa950perc10b_std,9.577789728266199
meanintensity0i_mean,-231.72770200000002
meanintensity0i_std,130.3161453223638
compactness10i_mean,6.282050571016949
compactness10i_std,3.2867590806677387
sphericity0i_mean,0.43109079830508473
sphericity0i_std,0.07459918618101687
graylevels0i_mean,521.0508474576271
graylevels0i_std,178.6103854308371
energy0i_mean,170105033.06779662
energy0i_std,143600460.12185788
entropy0i_mean,6754.797015338982
entropy0i_std,11431.913446102308
skewness0i_mean,-0.19621419322033898
skewness0i_std,0.649117803169828
kurtosis0i_mean,-0.493608123220339
kurtosis0i_std,0.9550095740855739
maximum3ddiameter0i_mean,24.52345402372881
maximum3ddiameter0i_std,10.844136979283116
