,sensitivity1,sensitivity2,sensitivity3,sensitivity4,sensitivity5,sensitivity6,sensitivity7,sensitivity8,sensitivity9,sensitivity10
0,0.6630434782608695,0.6065573770491803,0.6358695652173914,0.6646706586826348,0.639344262295082,0.660377358490566,0.65625,0.6324324324324324,0.657608695652174,0.6494845360824743
1,0.6166666666666667,0.6091370558375635,0.6477272727272727,0.6216216216216216,0.6153846153846154,0.5885416666666666,0.6022099447513812,0.609375,0.6338797814207651,0.6590909090909091
2,0.754601226993865,0.7602339181286549,0.7037037037037037,0.7456647398843931,0.7329842931937173,0.7380952380952381,0.7283236994219653,0.7597765363128491,0.7650602409638554,0.7257142857142858
3,0.7168141592920354,0.6993464052287581,0.6793893129770993,0.6686390532544378,0.7032258064516129,0.65625,0.6272189349112426,0.75,0.7012195121951219,0.6878980891719745
4,0.5767195767195767,0.6235294117647059,0.6351351351351351,0.5751295336787565,0.5778894472361809,0.6428571428571429,0.6,0.6618705035971223,0.6442953020134228,0.6228571428571429
5,0.5570469798657718,0.5185185185185185,0.5172413793103449,0.5714285714285714,0.55,0.5389221556886228,0.5581395348837209,0.5621301775147929,0.5333333333333333,0.5194174757281553
6,0.7041420118343196,0.672316384180791,0.6666666666666666,0.7124183006535948,0.7103448275862069,0.6949152542372882,0.6538461538461539,0.6853932584269663,0.7209302325581395,0.6978021978021978
7,0.6229508196721312,0.5894736842105263,0.581151832460733,0.6,0.5672514619883041,0.6,0.5603864734299517,0.6105263157894737,0.5792349726775956,0.6031746031746031
8,0.6432748538011696,0.6467391304347826,0.68,0.7151898734177216,0.6746987951807228,0.6526315789473685,0.6228571428571429,0.68,0.6577540106951871,0.6871165644171779
9,0.7034883720930233,0.7257142857142858,0.75,0.6978021978021978,0.6871508379888268,0.7241379310344828,0.7237569060773481,0.7232704402515723,0.725,0.7762237762237763
