,auc1,auc2,auc3,auc4,auc5,auc6,auc7,auc8,auc9,auc10
0,0.7986958153499718,0.6960499155563895,0.7378260461625071,0.7148151623193845,0.7616579095515106,0.7414618127228374,0.7145805967348471,0.7235175455057234,0.7643554137736912,0.7898292362544567
1,0.7555860805860806,0.7309065934065934,0.7582188644688646,0.7446886446886447,0.7100274725274724,0.7208333333333333,0.7153388278388279,0.7113095238095237,0.7421932234432235,0.7725503663003663
2,0.8027462121212121,0.7975615530303031,0.77109375,0.7994081439393939,0.8030303030303031,0.8053740530303031,0.8024621212121211,0.820407196969697,0.8210464015151515,0.7750236742424242
3,0.7466865326454367,0.7822896281800391,0.763587439957303,0.7869596157267389,0.7944538338373954,0.7359233232520903,0.7666118128446896,0.8308574986657179,0.818648816936488,0.7677904287493329
4,0.7443799520913948,0.7896397641422517,0.7173161967938089,0.7455085682697623,0.7920121614151465,0.7410862354892206,0.7376312880044223,0.7533628155518703,0.7757739082365949,0.7940160309563296
5,0.7613022941970311,0.709947946790052,0.7490119529593213,0.7776894158473106,0.7935704646230961,0.7800751879699248,0.749493927125506,0.7819548872180451,0.7749903605166764,0.756988625409678
6,0.7709116541353382,0.7559445488721804,0.7739191729323308,0.7851268796992481,0.7570253759398496,0.8104793233082708,0.769313909774436,0.7876644736842104,0.8291118421052631,0.8248120300751879
7,0.7738359201773836,0.7869780118255728,0.7484294161123429,0.7181956762749446,0.7011733185513673,0.7445953436807096,0.7225147819660014,0.7932141537324464,0.7556125277161863,0.7891953067257946
8,0.7671232876712328,0.7412507036967537,0.7817367235879152,0.8134030775004691,0.754034528054044,0.7837070744980297,0.7220632388815913,0.7596875586413961,0.769492400075061,0.7921279789829236
9,0.723741690408357,0.7512108262108261,0.7582383665717,0.7395773979107312,0.7158594491927824,0.7464150047483381,0.7658357075023742,0.7755460588793921,0.7271842355175688,0.7776353276353276
