,specificity1,specificity2,specificity3,specificity4,specificity5,specificity6,specificity7,specificity8,specificity9,specificity10
0,0.7777777777777778,0.6788990825688074,0.7314814814814815,0.72,0.7339449541284404,0.6917293233082706,0.6893939393939394,0.7289719626168224,0.7685185185185185,0.7959183673469388
1,0.75,0.797979797979798,0.7833333333333333,0.7747747747747747,0.6857142857142857,0.7403846153846154,0.7304347826086957,0.7788461538461539,0.7876106194690266,0.8
2,0.7131782945736435,0.7520661157024794,0.7378640776699029,0.7394957983193278,0.801980198019802,0.7096774193548387,0.7142857142857143,0.7876106194690266,0.7380952380952381,0.717948717948718
3,0.6524064171122995,0.7346938775510204,0.6627218934911243,0.7480916030534351,0.7448275862068966,0.7071428571428572,0.6946564885496184,0.7317073170731707,0.7720588235294118,0.7342657342657343
4,0.7663551401869159,0.7777777777777778,0.7297297297297297,0.7766990291262136,0.8041237113402062,0.7535211267605634,0.746031746031746,0.732484076433121,0.7414965986394558,0.7933884297520661
5,0.7891156462585034,0.7761194029850746,0.9032258064516129,0.837037037037037,0.8706896551724138,0.813953488372093,0.8548387096774194,0.8503937007874016,0.900990099009901,0.9222222222222223
6,0.7317073170731707,0.7130434782608696,0.7247706422018348,0.6906474820143885,0.6666666666666666,0.7478260869565218,0.8095238095238095,0.7368421052631579,0.7666666666666667,0.7727272727272727
7,0.8407079646017699,0.8113207547169812,0.8,0.8108108108108109,0.72,0.7768595041322314,0.8202247191011236,0.8490566037735849,0.7699115044247787,0.8317757009345794
8,0.7024793388429752,0.75,0.7692307692307693,0.753731343283582,0.7301587301587301,0.7843137254901961,0.6837606837606838,0.6901408450704225,0.780952380952381,0.7364341085271318
9,0.6583333333333333,0.7008547008547008,0.6571428571428571,0.6818181818181818,0.6548672566371682,0.6949152542372882,0.7207207207207207,0.6466165413533834,0.6515151515151515,0.6577181208053692
