,auc1,auc2,auc3,auc4,auc5,auc6,auc7,auc8,auc9,auc10
0,0.8149512103584161,0.7970538562582097,0.8183758678926627,0.8264214674422968,0.844811409270032,0.7810095702758492,0.8089463313942579,0.8374929630324639,0.7973587915181086,0.7832379433289548
1,0.7569597069597069,0.7770833333333335,0.7695741758241759,0.8007554945054945,0.7431776556776557,0.7159798534798535,0.7730769230769231,0.7509386446886447,0.7643543956043957,0.7441163003663005
2,0.8238873106060606,0.8360795454545454,0.8932291666666666,0.8464725378787878,0.7914299242424243,0.8268229166666666,0.8469696969696969,0.834090909090909,0.8612215909090909,0.846472537878788
3,0.7591620708059064,0.7758183597224693,0.769836328055506,0.8291451698985948,0.8011474826543319,0.801147482654332,0.8069293719978652,0.8072851805728518,0.7951876890233054,0.7844689557018323
4,0.7486180210060807,0.7754053805048831,0.7549751243781094,0.7805187027823844,0.7535240464344941,0.7817855168601437,0.7710521466740374,0.7525336281555188,0.7872673668693569,0.7512668140777593
5,0.7259253903990747,0.7425775978407557,0.7296365914786966,0.7099961442066705,0.691970310391363,0.6786437246963561,0.7365047233468287,0.6884278002699055,0.7272026219394641,0.7231299402352034
6,0.8254699248120301,0.8329182330827067,0.8328712406015037,0.8298402255639098,0.8180921052631579,0.7834351503759398,0.8376644736842105,0.8063204887218045,0.8496005639097745,0.8427396616541354
7,0.7970482261640799,0.7801875461936437,0.7765382483370289,0.7845066518847006,0.8064717294900221,0.7772542498152254,0.8154332963784183,0.8024066888396156,0.7912278270509978,0.8025683665927568
8,0.7311174704447363,0.7215706511540626,0.7589134922124225,0.7540110714955903,0.7156126853068118,0.7169966222555827,0.7519703509101145,0.7104522424469881,0.7343075623944454,0.7000609870519798
9,0.7887226970560305,0.772744539411206,0.7864197530864198,0.791358024691358,0.790360873694207,0.7743114909781577,0.714767331433998,0.7855650522317189,0.8112535612535613,0.7530389363722697
