,specificity1,specificity2,specificity3,specificity4,specificity5,specificity6,specificity7,specificity8,specificity9,specificity10
0,0.7483443708609272,0.8166666666666667,0.7816901408450704,0.792,0.8278688524590164,0.7338129496402878,0.7753623188405797,0.8091603053435115,0.7681159420289855,0.7540983606557377
1,0.8290598290598291,0.8203125,0.7925925925925926,0.8211382113821138,0.7844827586206896,0.7478991596638656,0.7878787878787878,0.7857142857142857,0.8034188034188035,0.7678571428571429
2,0.7647058823529411,0.7868852459016393,0.828125,0.8125,0.7288135593220338,0.7664233576642335,0.7412587412587412,0.7709923664122137,0.7925925925925926,0.7751937984496124
3,0.7518796992481203,0.75,0.75,0.7986577181208053,0.777027027027027,0.7835820895522388,0.7660818713450293,0.7887323943661971,0.7872340425531915,0.75
4,0.8032786885245902,0.8412698412698413,0.7983193277310925,0.8029197080291971,0.808,0.7819548872180451,0.7851851851851852,0.7815126050420168,0.8130081300813008,0.8
5,0.8208955223880597,0.8372093023255814,0.8125,0.8064516129032258,0.7967479674796748,0.8083333333333333,0.8142857142857143,0.8347826086956521,0.7969924812030075,0.7986111111111112
6,0.7651006711409396,0.7872340425531915,0.7671232876712328,0.7931034482758621,0.7801418439716312,0.7398373983739838,0.7777777777777778,0.7518796992481203,0.7898550724637681,0.7709923664122137
7,0.8125,0.8090909090909091,0.7818181818181819,0.7959183673469388,0.8161764705882353,0.8,0.8360655737704918,0.8333333333333334,0.7941176470588235,0.8251748251748252
8,0.6962962962962963,0.706766917293233,0.7593984962406015,0.7540983606557377,0.6956521739130435,0.7,0.7456140350877193,0.676923076923077,0.6946564885496184,0.6857142857142857
9,0.7099236641221374,0.743801652892562,0.7054263565891473,0.7327586206896551,0.7796610169491526,0.6942148760330579,0.6507936507936508,0.7637795275590551,0.7101449275362319,0.7096774193548387
