,auc1,auc2,auc3,auc4,auc5,auc6,auc7,auc8,auc9,auc10
0,0.7909551510602365,0.8025896040532933,0.7950835053480954,0.8259054231563144,0.8125351848376805,0.7987896415837868,0.7885625820979544,0.7990945768436855,0.840589228748358,0.8087821354850817
1,0.8305860805860806,0.8714972527472528,0.8052655677655678,0.791735347985348,0.8215888278388279,0.8073717948717949,0.7809294871794872,0.8134844322344322,0.8700091575091575,0.8159569597069597
2,0.8284564393939394,0.8486979166666667,0.8292850378787879,0.8542140151515152,0.8236268939393938,0.8393939393939394,0.7591145833333333,0.7921164772727273,0.8243844696969698,0.8584043560606059
3,0.8524283935242839,0.8163138231631382,0.8212729051770148,0.8385963351716776,0.8304127379469846,0.8083748443337485,0.8482031666963175,0.8121108343711083,0.8443115104074008,0.8320138765344245
4,0.7685185185185185,0.7289939192924269,0.740349180025797,0.74235304956698,0.7889257416620601,0.7586373687119956,0.775612677353971,0.7609637000184265,0.7031739450893679,0.7646029113690805
5,0.8195729708887602,0.8595768266820898,0.834224985540775,0.7897869674185465,0.76951995373048,0.7962695199537304,0.7680981299402351,0.7787738577212262,0.8286581839213418,0.7897869674185464
6,0.8818139097744361,0.8867011278195488,0.8507283834586467,0.8851738721804511,0.8919407894736843,0.8814144736842104,0.809093045112782,0.8673167293233084,0.8706062030075188,0.8721569548872181
7,0.7868625277161863,0.810190317812269,0.7891722099039172,0.7607169253510716,0.7785476718403549,0.8117378048780487,0.8025452697708795,0.7662832594235033,0.8095667036215817,0.8007206208425721
8,0.795669919309439,0.7659504597485456,0.7658800900731845,0.7884452993056859,0.7769515856633514,0.7581628823419028,0.8188449990617376,0.8050525426909364,0.7764120848189153,0.7479123662976169
9,0.8241452991452991,0.8065289648622982,0.8033713200379866,0.8052706552706553,0.7673076923076924,0.8125593542260209,0.7972459639126306,0.78497150997151,0.7699192782526115,0.8207027540360874
