,0
Individuals,57.0
xnorm_mean,-11.732863473684212
xnorm_std,36.207872262077494
ynorm_mean,8.14678670877193
ynorm_std,25.282196184411003
znorm_mean,0.9298105964912278
znorm_std,28.864132806396672
laa950perc10b_mean,8.540544371052633
laa950perc10b_std,9.303922632182186
meanintensity0i_mean,-250.067873245614
meanintensity0i_std,151.04847142979395
compactness10i_mean,6.015935101578948
compactness10i_std,3.3637899412679477
sphericity0i_mean,0.42800737175438597
sphericity0i_std,0.07741418134026831
graylevels0i_mean,502.6842105263158
graylevels0i_std,193.0825284223171
energy0i_mean,173288720.84210527
energy0i_std,147391643.28836036
entropy0i_mean,6616.121244999999
entropy0i_std,11587.09075357911
skewness0i_mean,-0.13600803280701754
skewness0i_std,0.679913781171574
kurtosis0i_mean,-0.4438578905263157
kurtosis0i_std,1.009957090901285
maximum3ddiameter0i_mean,24.168992291228072
maximum3ddiameter0i_std,11.285032690762506
