,0
Individuals,24.0
xnorm_mean,-19.828201250000003
xnorm_std,47.328356062360236
ynorm_mean,-4.408003
ynorm_std,26.66937095108891
znorm_mean,-19.030524958333334
znorm_std,30.624458333973287
laa950perc10b_mean,7.188459818148568
laa950perc10b_std,9.300180215194414
meanintensity0i_mean,-431.48247208333333
meanintensity0i_std,171.52420261233817
compactness10i_mean,2.4193072808333334
compactness10i_std,2.165880518882004
sphericity0i_mean,0.5188263479166667
sphericity0i_std,0.12217185158486658
graylevels0i_mean,217.16666666666666
graylevels0i_std,218.29251748148815
energy0i_mean,78566045.0
energy0i_std,102939503.39551926
entropy0i_mean,759.488462125
entropy0i_std,1987.7949560776958
skewness0i_mean,0.19583612250000001
skewness0i_std,0.7621400306699314
kurtosis0i_mean,-0.26854327624999996
kurtosis0i_std,1.1052104429370293
maximum3ddiameter0i_mean,12.487350379166665
maximum3ddiameter0i_std,9.445105776930623
