,0
Individuals,16.0
xnorm_mean,-11.6022509375
xnorm_std,38.53767320410363
ynorm_mean,0.9435419375
ynorm_std,34.57728666107094
znorm_mean,-13.247463599999998
znorm_std,34.92814178585716
laa950perc10b_mean,12.4352470875
laa950perc10b_std,20.034025851764095
meanintensity0i_mean,-340.0866743125
meanintensity0i_std,226.01216459684417
compactness10i_mean,4.1062605068749995
compactness10i_std,3.082501311178624
sphericity0i_mean,0.528361198125
sphericity0i_std,0.07254302196352555
graylevels0i_mean,327.5
graylevels0i_std,237.5359621895879
energy0i_mean,100593414.1875
energy0i_std,98727485.69456095
entropy0i_mean,1918.0952226874997
entropy0i_std,3809.8015412266977
skewness0i_mean,0.131290089375
skewness0i_std,0.8324963821060282
kurtosis0i_mean,-0.2337648725
kurtosis0i_std,1.1098828428779763
maximum3ddiameter0i_mean,15.3760435375
maximum3ddiameter0i_std,8.876339270851055
